"Ensembl.Gene.ID" "Gene.Symbol" "Biotype" "Comparison" "logFC" "FDR"
"ENSG00000169245" "CXCL10" "protein_coding" "Crohn vs Control" 4.97654648442458 6.79526782164076e-13
"ENSG00000184557" "SOCS3" "protein_coding" "Crohn vs Control" 5.08747111559701 2.38628302119785e-11
"ENSG00000134339" "SAA2" "protein_coding" "Crohn vs Control" 8.30819870939094 5.18469775790864e-11
"ENSG00000163735" "CXCL5" "protein_coding" "Crohn vs Control" 10.5808958825971 1.13358362264495e-10
"ENSG00000154451" "GBP5" "protein_coding" "Crohn vs Control" 4.33053964821802 1.18148648262314e-09
"ENSG00000275302" "CCL4" "protein_coding" "Crohn vs Control" 4.05499725457636 1.08428836027724e-08
"ENSG00000139289" "PHLDA1" "protein_coding" "Crohn vs Control" 4.17119830683194 1.08428836027724e-08
"ENSG00000172016" "REG3A" "protein_coding" "Crohn vs Control" 9.06640907210754 1.89903160126279e-08
"ENSG00000122861" "PLAU" "protein_coding" "Crohn vs Control" 4.9726065335487 3.43953922922071e-08
"ENSG00000090339" "ICAM1" "protein_coding" "Crohn vs Control" 4.09064353502886 5.36385388101601e-08
"ENSG00000115008" "IL1A" "protein_coding" "Crohn vs Control" 5.87444753696226 1.22591360076904e-07
"ENSG00000158859" "ADAMTS4" "protein_coding" "Crohn vs Control" 5.87813450442611 1.91991008039573e-07
"ENSG00000164379" "FOXQ1" "protein_coding" "Crohn vs Control" 6.03662281182284 2.21160173888514e-07
"ENSG00000117228" "GBP1" "protein_coding" "Crohn vs Control" 3.3971597985107 2.4148038483155e-07
"ENSG00000176907" "TCIM" "protein_coding" "Crohn vs Control" 2.9873045384977 3.73485167632254e-07
"ENSG00000162654" "GBP4" "protein_coding" "Crohn vs Control" 4.53961175683269 3.73485167632254e-07
"ENSG00000125538" "IL1B" "protein_coding" "Crohn vs Control" 5.40309457531389 3.98865340726487e-07
"ENSG00000156587" "UBE2L6" "protein_coding" "Crohn vs Control" 2.95665275427658 4.12059065249171e-07
"ENSG00000127507" "ADGRE2" "protein_coding" "Crohn vs Control" 4.12617365528121 5.52286057733309e-07
"ENSG00000100197" "CYP2D6" "protein_coding" "Crohn vs Control" -3.93508835618667 5.83385911294167e-07
"ENSG00000162949" "CAPN13" "protein_coding" "Crohn vs Control" -3.20817031958026 7.61376658905828e-07
"ENSG00000163739" "CXCL1" "protein_coding" "Crohn vs Control" 6.29072697858875 1.14280627822466e-06
"ENSG00000162493" "PDPN" "protein_coding" "Crohn vs Control" 5.01865057762679 1.38594718274227e-06
"ENSG00000111912" "NCOA7" "protein_coding" "Crohn vs Control" 2.73212367448252 1.81926368150269e-06
"ENSG00000050730" "TNIP3" "protein_coding" "Crohn vs Control" 6.18129132301125 2.33640774845982e-06
"ENSG00000173432" "SAA1" "protein_coding" "Crohn vs Control" 7.20342724951448 3.54516170415306e-06
"ENSG00000163734" "CXCL3" "protein_coding" "Crohn vs Control" 4.83276262705377 4.63927655731608e-06
"ENSG00000073756" "PTGS2" "protein_coding" "Crohn vs Control" 6.34427318611076 4.71208823856062e-06
"ENSG00000156284" "CLDN8" "protein_coding" "Crohn vs Control" -5.63346823321169 4.71208823856062e-06
"ENSG00000137752" "CASP1" "protein_coding" "Crohn vs Control" 2.68906579669364 9.06565463798618e-06
"ENSG00000026751" "SLAMF7" "protein_coding" "Crohn vs Control" 3.09750985985488 9.17990625644992e-06
"ENSG00000262406" "MMP12" "protein_coding" "Crohn vs Control" 5.3039947588253 1.11150316823151e-05
"ENSG00000271447" "MMP28" "protein_coding" "Crohn vs Control" -2.69732931973366 1.50811153040204e-05
"ENSG00000108342" "CSF3" "protein_coding" "Crohn vs Control" 9.87150213614913 1.50811153040204e-05
"ENSG00000136048" "DRAM1" "protein_coding" "Crohn vs Control" 3.54490285119359 1.51042249031383e-05
